idvisit,idvisitor,idaction_name,document,documenttime,documenttime_formatted,clone_name,search_cat,value,searchtime,searchtime_formatted,action,keyw_5,display_title_s,display_org_s,filename,display_source_s,crawler_used_s,doc_type,display_doc_type_s
48563,513BD4AECACFB6FA,14545,AFH 15-101.pdf,2023-03-02T12:20:39.000Z,2023-03-02 12:20:00, gamechanger,GAMECHANGER_gamechanger_combined,afh 15-101,2023-03-02T12:20:35.000Z,2023-03-02 12:20,Search,"severe weather, wind speed, dew point, wind shear, sea breeze, melting layer, freezing precipitation, cloud cover, wind speeds, water droplets",AFH 15-101: METEOROLOGICAL TECHNIQUES,Dept. of the Air Force,AFH 15-101.pdf,Dept. of the Air Force E-Publishing - Unlisted Source,air_force_pubs,AFH,Document
48541,58751A4353CBF7C0,211,TRADOC TR10-5-4.pdf,2023-03-02T11:49:03.000Z,2023-03-02 11:49:00, gamechanger,GAMECHANGER_gamechanger_combined,army,2023-03-02T11:48:52.000Z,2023-03-02 11:48,Search,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
48541,58751A4353CBF7C0,211,TRADOC TR10-5-4.pdf,2023-03-02T11:49:02.000Z,2023-03-02 11:49:00, gamechanger,GAMECHANGER_gamechanger_combined,army,2023-03-02T11:48:52.000Z,2023-03-02 11:48,Search,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
48533,58751A4353CBF7C0,72,TB MED 530.pdf,2023-03-02T11:46:48.000Z,2023-03-02 11:46:00, gamechanger,GAMECHANGER_gamechanger_combined,pizza,2023-03-02T11:46:44.000Z,2023-03-02 11:46,Search,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
48473,58751A4353CBF7C0,211,TRADOC TR10-5-4.pdf,2023-03-02T09:15:17.000Z,2023-03-02 09:15:00, gamechanger,GAMECHANGER_gamechanger_combined,army,2023-03-02T09:15:06.000Z,2023-03-02 09:15,Search,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
48473,58751A4353CBF7C0,211,TRADOC TR10-5-4.pdf,2023-03-02T09:15:16.000Z,2023-03-02 09:15:00, gamechanger,GAMECHANGER_gamechanger_combined,army,2023-03-02T09:15:06.000Z,2023-03-02 09:15,Search,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
48467,58751A4353CBF7C0,72,TB MED 530.pdf,2023-03-02T09:13:08.000Z,2023-03-02 09:13:00, gamechanger,GAMECHANGER_gamechanger_combined,pizza,2023-03-02T09:13:04.000Z,2023-03-02 09:13,Search,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
48458,58751A4353CBF7C0,3679,AACP 02_PART5.pdf,2023-03-02T09:09:24.000Z,2023-03-02 09:09:00, gamechanger,,,,,OpenDocument,"acquisition practices, electronic mail, audit authority, sample provisions, sample clauses, requesting authority, nato group, logistic support, contract documents, contract audit",AACP 02_PART5: GUIDELINES AND SAMPLE PROVISIONS FOR ELECTRONIC DATA INTERCHANGE (EDI),Uncategorized,AACP 02_PART5.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
48466,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-03-02T09:12:50.000Z,2023-03-02 09:12:00, gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
48524,58751A4353CBF7C0,3679,AACP 02_PART5.pdf,2023-03-02T11:42:50.000Z,2023-03-02 11:42:00, gamechanger,,,,,OpenDocument,"acquisition practices, electronic mail, audit authority, sample provisions, sample clauses, requesting authority, nato group, logistic support, contract documents, contract audit",AACP 02_PART5: GUIDELINES AND SAMPLE PROVISIONS FOR ELECTRONIC DATA INTERCHANGE (EDI),Uncategorized,AACP 02_PART5.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
48532,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-03-02T11:46:24.000Z,2023-03-02 11:46:00, gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
48577,58751A4353CBF7C0,11589,TRADOC TR10-5-4.pdf,2023-03-02T14:15:23.000Z,2023-03-02 14:15:00, gamechanger,,,,,OpenDocument,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
46137,E8996EFD2D75C4CC,5454,Title 10,2023-02-01T10:43:50.000Z,2023-02-01 10:43:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46148,5F0665A70B63A115,14098,SASC Hearing,2023-02-01T10:18:37.000Z,2023-02-01 10:18:00,Impacts of the Joint Comprehensive Plan of Action (JCPOA) on U.S. Interests and the Military Balance in the Middle East Agenda Member Statements Witnesses,,,,,OpenDocument,,SASC Hearing,,,,,,
46164,649A714086686CD4,14108,DTM-21-005.pdf,2023-02-01T11:44:28.000Z,2023-02-01 11:44:00,gamechanger,,,,,OpenDocument,"dtm-21-005, term dwell, service members, service member, readiness attachments, operational requirement, mobilization-to-dwell ratio, military departments, dod instruction, deployment-to-dwell ratio","DoDI CPM 005: Deployment-to-Dwell, Mobilization-to-Dwell Policy Revision",Uncategorized,DTM-21-005.pdf,Uncategorized,dod_issuances,DoDI CPM,Uncategorized
46169,649A714086686CD4,4361,DoDI 1235.12 CH 1.pdf,2023-02-01T12:56:13.000Z,2023-02-01 12:56:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
46177,C16DD949A5CB6FE1,14118,EDAPDF-215FFF74AEC85C91E05400215A9BA3B8-FA807514D0002-0004-empty-04-PDS-2015-10-05.pdf,2023-02-01T12:58:48.000Z,2023-02-01 12:58:00,eda,,,,,OpenDocument,,EDAPDF-215FFF74AEC85C91E05400215A9BA3B8-FA807514D0002-0004-empty-04-PDS-2015-10-05.pdf,,,,,,
46189,513BD4AECACFB6FA,7894,DoDI 5000.82.pdf,2023-02-01T13:58:09.000Z,2023-02-01 13:58:00,gamechanger,,,,,OpenDocument,"dod cio, information technology, dod component, “defense acquisition, waveform management, urgent operational, united states, term reflects, solution architecture, records contained",DoDI 5000.82: Acquisition of Information Technology (IT),Dept. of Defense,DoDI 5000.82.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
46191,2334C714099105CA,10382,FY23 Space Force Research Development Test and Evaluation,2023-02-01T14:35:14.000Z,2023-02-01 14:35:00,jbook,,,,,OpenDocument,,FY23 Space Force Research Development Test and Evaluation,,,,,,
46234,5F0665A70B63A115,6666,AFI 32-6000.pdf,2023-02-01T18:47:24.000Z,2023-02-01 18:47:00,gamechanger,,,,,OpenDocument,"air force, family housing, transaction documents, project owner, community housing, unaccompanied housing, living room, radiators exist, privatized housing, government-controlled housing",AFI 32-6000: Housing Management,Dept. of the Air Force,AFI 32-6000.pdf,Dept. of the Air Force E-Publishing - Unlisted Source,air_force_pubs,AFI,Document
46249,58751A4353CBF7C0,3615,AACP 02.pdf,2023-02-02T09:41:43.000Z,2023-02-02 09:41:00,gamechanger,,,,,OpenDocument,"reservations listed, intentionally blank, contract audit, aacp-02, servicing capital, reservation] note, reciprocity means, profit calculation, price proposal, nso",AACP 02: GUIDELINES FOR MUTUAL PROVISION OF CONTRACT AUDITS,Uncategorized,AACP 02.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
46257,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-02T09:45:29.000Z,2023-02-02 09:45:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
46258,58751A4353CBF7C0,12612,TB MED 530.pdf,2023-02-02T09:45:50.000Z,2023-02-02 09:45:00,gamechanger,,,,,OpenDocument,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
46265,58751A4353CBF7C0,5454,Title 10,2023-02-02T09:48:47.000Z,2023-02-02 09:48:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46301,513BD4AECACFB6FA,6445,DFARS SUBPART 239.76,2023-02-02T11:34:05.000Z,2023-02-02 11:34:00,CLOUD COMPUTING.pdf,,,,,OpenDocument,,DFARS SUBPART 239.76,,,,,,
46311,513BD4AECACFB6FA,6445,DFARS SUBPART 239.76,2023-02-02T12:26:07.000Z,2023-02-02 12:26:00,CLOUD COMPUTING.pdf,,,,,OpenDocument,,DFARS SUBPART 239.76,,,,,,
46315,58751A4353CBF7C0,3615,AACP 02.pdf,2023-02-02T12:13:31.000Z,2023-02-02 12:13:00,gamechanger,,,,,OpenDocument,"reservations listed, intentionally blank, contract audit, aacp-02, servicing capital, reservation] note, reciprocity means, profit calculation, price proposal, nso",AACP 02: GUIDELINES FOR MUTUAL PROVISION OF CONTRACT AUDITS,Uncategorized,AACP 02.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
46324,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-02T12:17:12.000Z,2023-02-02 12:17:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
46325,58751A4353CBF7C0,12612,TB MED 530.pdf,2023-02-02T12:17:32.000Z,2023-02-02 12:17:00,gamechanger,,,,,OpenDocument,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
46332,58751A4353CBF7C0,5454,Title 10,2023-02-02T12:19:58.000Z,2023-02-02 12:19:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46351,58751A4353CBF7C0,5454,Title 10,2023-02-02T12:32:24.000Z,2023-02-02 12:32:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46355,E8996EFD2D75C4CC,11589,TRADOC TR10-5-4.pdf,2023-02-02T13:15:28.000Z,2023-02-02 13:15:00,gamechanger,,,,,OpenDocument,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
46357,5E865429C3AEBEBD,9844,Title 16,2023-02-02T13:01:37.000Z,2023-02-02 13:01:00,Conservation.pdf,,,,,OpenDocument,,Title 16,,,,,,
46380,513BD4AECACFB6FA,4791,U_JCCL_Workshop_1_8Jun2020_Executive_Summary.pdf,2023-02-02T18:08:01.000Z,2023-02-02 18:08:00,jexnet,,,,,OpenDocument,,U_JCCL_Workshop_1_8Jun2020_Executive_Summary.pdf,,,,,,
46413,58751A4353CBF7C0,3615,AACP 02.pdf,2023-02-03T08:59:02.000Z,2023-02-03 08:59:00,gamechanger,,,,,OpenDocument,"reservations listed, intentionally blank, contract audit, aacp-02, servicing capital, reservation] note, reciprocity means, profit calculation, price proposal, nso",AACP 02: GUIDELINES FOR MUTUAL PROVISION OF CONTRACT AUDITS,Uncategorized,AACP 02.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
46421,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-03T09:03:09.000Z,2023-02-03 09:03:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
46422,58751A4353CBF7C0,12612,TB MED 530.pdf,2023-02-03T09:03:26.000Z,2023-02-03 09:03:00,gamechanger,,,,,OpenDocument,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
46429,58751A4353CBF7C0,5454,Title 10,2023-02-03T09:05:58.000Z,2023-02-03 09:05:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46451,A7B65513B8EBE2EE,5454,Title 10,2023-02-03T11:26:35.000Z,2023-02-03 11:26:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46456,E8996EFD2D75C4CC,11589,TRADOC TR10-5-4.pdf,2023-02-03T10:59:35.000Z,2023-02-03 10:59:00,gamechanger,,,,,OpenDocument,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
46473,A7B65513B8EBE2EE,5454,Title 10,2023-02-03T12:00:50.000Z,2023-02-03 12:00:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46509,58751A4353CBF7C0,3615,AACP 02.pdf,2023-02-03T14:56:12.000Z,2023-02-03 14:56:00,gamechanger,,,,,OpenDocument,"reservations listed, intentionally blank, contract audit, aacp-02, servicing capital, reservation] note, reciprocity means, profit calculation, price proposal, nso",AACP 02: GUIDELINES FOR MUTUAL PROVISION OF CONTRACT AUDITS,Uncategorized,AACP 02.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
46518,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-03T15:00:17.000Z,2023-02-03 15:00:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
46519,58751A4353CBF7C0,12612,TB MED 530.pdf,2023-02-03T15:00:38.000Z,2023-02-03 15:00:00,gamechanger,,,,,OpenDocument,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
46528,58751A4353CBF7C0,5454,Title 10,2023-02-03T15:03:20.000Z,2023-02-03 15:03:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46568,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-03T16:00:21.000Z,2023-02-03 16:00:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
46569,58751A4353CBF7C0,12612,TB MED 530.pdf,2023-02-03T16:00:42.000Z,2023-02-03 16:00:00,gamechanger,,,,,OpenDocument,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
46578,58751A4353CBF7C0,5454,Title 10,2023-02-03T16:03:22.000Z,2023-02-03 16:03:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46598,58751A4353CBF7C0,5454,Title 10,2023-02-03T16:24:13.000Z,2023-02-03 16:24:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46610,58751A4353CBF7C0,5454,Title 10,2023-02-03T16:47:26.000Z,2023-02-03 16:47:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46629,1CEAB3D67A91BFA1,5454,Title 10,2023-02-09T15:32:14.000Z,2023-02-09 15:32:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46634,58751A4353CBF7C0,5454,Title 10,2023-02-09T15:53:59.000Z,2023-02-09 15:53:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46638,513BD4AECACFB6FA,6381,DFARS SUBPART 239.76.html,2023-02-09T15:59:10.000Z,2023-02-09 15:59:00,gamechanger,,,,,OpenDocument,"provisional authorization, license agreements, commercial terms, cloud computing",DFARS SUBPART 239.76: SUBPART 239.76 CLOUD COMPUTING,Uncategorized,DFARS SUBPART 239.76.html,Uncategorized,dfar_subpart_regs,DFARS,Uncategorized
46648,7976822F1CDC4562,14182,EDAPDF-A93E5E89D381182EE0440025B3E8F0A7-H9222211D0037-0001-empty-empty-PDS-2011-07-29.pdf,2023-02-09T16:23:34.000Z,2023-02-09 16:23:00,eda,,,,,OpenDocument,,EDAPDF-A93E5E89D381182EE0440025B3E8F0A7-H9222211D0037-0001-empty-empty-PDS-2011-07-29.pdf,,,,,,
46657,FE703D258C7EF5F5,14189,SASC Hearing,2023-02-09T17:10:23.000Z,2023-02-09 17:10:00,Department of Defense&#039;s Cybersecurity Acquisition and Practices from the Private Sector Agenda Witnesses,,,,,OpenDocument,,SASC Hearing,,,,,,
46666,850613C2B855E1EA,14190,U_0903235K_6_PB_2019.pdf,2023-02-09T20:26:40.000Z,2023-02-09 20:26:00,jbook,,,,,OpenDocument,,U_0903235K_6_PB_2019.pdf,,,,,,
46676,E8996EFD2D75C4CC,14192,aeff336585e0359584c83f0c94bc888d9dbf1a7f.pdf,2023-02-10T10:04:52.000Z,2023-02-10 10:04:00,covid19,,,,,OpenDocument,,aeff336585e0359584c83f0c94bc888d9dbf1a7f.pdf,,,,,,
46685,E8996EFD2D75C4CC,5454,Title 10,2023-02-10T10:43:17.000Z,2023-02-10 10:43:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46698,58751A4353CBF7C0,3615,AACP 02.pdf,2023-02-10T11:16:40.000Z,2023-02-10 11:16:00,gamechanger,,,,,OpenDocument,"reservations listed, intentionally blank, contract audit, aacp-02, servicing capital, reservation] note, reciprocity means, profit calculation, price proposal, nso",AACP 02: GUIDELINES FOR MUTUAL PROVISION OF CONTRACT AUDITS,Uncategorized,AACP 02.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
46707,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-10T11:20:10.000Z,2023-02-10 11:20:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
46708,58751A4353CBF7C0,12612,TB MED 530.pdf,2023-02-10T11:20:29.000Z,2023-02-10 11:20:00,gamechanger,,,,,OpenDocument,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
46715,58751A4353CBF7C0,5454,Title 10,2023-02-10T11:23:10.000Z,2023-02-10 11:23:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46756,513BD4AECACFB6FA,8341,S. 3099 RS 117th.pdf,2023-02-12T13:58:52.000Z,2023-02-12 13:58:00,gamechanger,,,,,OpenDocument,,S. 3099 RS 117th.pdf,,,,,,
46780,FE703D258C7EF5F5,3794,AFMAN 11-420.pdf,2023-02-13T09:42:34.000Z,2023-02-13 09:42:00,gamechanger,,,,,OpenDocument,"static line, reserve parachute, figure 12-, figure 17-, paratroop door, drop zone, chapter, aircraft, chest strap, webbing retainer",AFMAN 11-420: STATIC LINE PARACHUTING TECHNIQUES AND TACTICS,Dept. of the Air Force,AFMAN 11-420.pdf,Dept. of the Air Force E-Publishing - Unlisted Source,air_force_pubs,AFMAN,Document
46803,513BD4AECACFB6FA,8341,S. 3099 RS 117th.pdf,2023-02-13T12:11:48.000Z,2023-02-13 12:11:00,gamechanger,,,,,OpenDocument,,S. 3099 RS 117th.pdf,,,,,,
46814,513BD4AECACFB6FA,10985,Title 5,2023-02-13T13:03:03.000Z,2023-02-13 13:03:00,Appendix.pdf,,,,,OpenDocument,,Title 5,,,,,,
46859,513BD4AECACFB6FA,5454,Title 10,2023-02-13T17:57:13.000Z,2023-02-13 17:57:00,Armed Forces.pdf,,,,,OpenDocument,,Title 10,,,,,,
46988,A7B65513B8EBE2EE,10985,Title 5,2023-02-15T10:18:22.000Z,2023-02-15 10:18:00,Appendix.pdf,,,,,OpenDocument,,Title 5,,,,,,
47014,58751A4353CBF7C0,3679,AACP 02_PART5.pdf,2023-02-15T11:41:48.000Z,2023-02-15 11:41:00,gamechanger,,,,,OpenDocument,"acquisition practices, electronic mail, audit authority, sample provisions, sample clauses, requesting authority, nato group, logistic support, contract documents, contract audit",AACP 02_PART5: GUIDELINES AND SAMPLE PROVISIONS FOR ELECTRONIC DATA INTERCHANGE (EDI),Uncategorized,AACP 02_PART5.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
47022,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-15T11:45:22.000Z,2023-02-15 11:45:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
47023,58751A4353CBF7C0,12612,TB MED 530.pdf,2023-02-15T11:45:41.000Z,2023-02-15 11:45:00,gamechanger,,,,,OpenDocument,"food establishment, page, food-contact surfaces, food employees, food safety, food code, handwashing sinks, food employee, public health, warewashing machines",TB 530: TRI-SERVICE FOOD CODE,Dept. of the Army,TB MED 530.pdf,Army Publishing Directorate - Unlisted Source,army_pubs,TB,Document
47055,58751A4353CBF7C0,3679,AACP 02_PART5.pdf,2023-02-15T13:05:00.000Z,2023-02-15 13:05:00,gamechanger,,,,,OpenDocument,"acquisition practices, electronic mail, audit authority, sample provisions, sample clauses, requesting authority, nato group, logistic support, contract documents, contract audit",AACP 02_PART5: GUIDELINES AND SAMPLE PROVISIONS FOR ELECTRONIC DATA INTERCHANGE (EDI),Uncategorized,AACP 02_PART5.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
47063,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-15T13:09:30.000Z,2023-02-15 13:09:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
47072,58751A4353CBF7C0,11589,TRADOC TR10-5-4.pdf,2023-02-15T13:12:30.000Z,2023-02-15 13:12:00,gamechanger,,,,,OpenDocument,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
47100,58751A4353CBF7C0,11589,TRADOC TR10-5-4.pdf,2023-02-15T14:13:02.000Z,2023-02-15 14:13:00,gamechanger,,,,,OpenDocument,"leader development, training support, training, staff management, capability development, training management, lessons learned, fort leavenworth, ctc program, battle command",TRADOC Regulations (TRs) TR10-5-4: United States Army Combined Arms Center,United States Army Training and Doctrine Command,TRADOC TR10-5-4.pdf,TRADOC - TRADOC Administrative Publications,tradoc,TRADOC Regulations (TRs),Document
47166,58751A4353CBF7C0,3679,AACP 02_PART5.pdf,2023-02-16T09:52:01.000Z,2023-02-16 09:52:00,gamechanger,,,,,OpenDocument,"acquisition practices, electronic mail, audit authority, sample provisions, sample clauses, requesting authority, nato group, logistic support, contract documents, contract audit",AACP 02_PART5: GUIDELINES AND SAMPLE PROVISIONS FOR ELECTRONIC DATA INTERCHANGE (EDI),Uncategorized,AACP 02_PART5.pdf,Uncategorized,nato_stanag,AACP,Uncategorized
47174,58751A4353CBF7C0,4361,DoDI 1235.12 CH 1.pdf,2023-02-16T09:55:32.000Z,2023-02-16 09:55:00,gamechanger,,,,,OpenDocument,"rc forces, rc units, operational force, involuntary activation, dodi 12, active duty, selected reserve, rc members, rc access, national guard",DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,WHS DoD Directives Division - Unlisted Source,dod_issuances,DoDI,Instruction
