idvisit,idvisitor,idaction_name,document,documenttime,documenttime_formatted,clone_name,search_cat,value,searchtime,searchtime_formatted,action,keyw_5,display_title_s,display_org_s,filename,display_source_s,crawler_used_s,doc_type,display_doc_type_s
41669,825777C330FD094B,4968,EDAPDF-495BFCA3D46F3702E05400215A9BA3BA-HC102808D2015-0041-empty-27-PDS-2017-02-25.pdf,Mon Nov 14 2022 17:04:19 GMT+0000 (Coordinated Universal Time),2022-11-14 17:04:00, eda,GAMECHANGER_gamechanger_combined,cloud computing,Mon Nov 14 2022 17:01:38 GMT+0000 (Coordinated Universal Time),2022-11-14 17:01,Search,,EDAPDF-495BFCA3D46F3702E05400215A9BA3BA-HC102808D2015-0041-empty-27-PDS-2017-02-25.pdf,,,,,,
41658,58751A4353CBF7C0,72,MIL-DTL-32541 Base Document 2015-11-30.pdf,Mon Nov 14 2022 16:46:07 GMT+0000 (Coordinated Universal Time),2022-11-14 16:46:00, gamechanger,GAMECHANGER_gamechanger_combined,pizza,Mon Nov 14 2022 16:46:02 GMT+0000 (Coordinated Universal Time),2022-11-14 16:46,Search,,MIL-DTL-32541 Base Document 2015-11-30.pdf,,,,,,
41658,58751A4353CBF7C0,75,DoDI 1235.12 CH 1.pdf,Mon Nov 14 2022 16:45:54 GMT+0000 (Coordinated Universal Time),2022-11-14 16:45:00, gamechanger,GAMECHANGER_gamechanger_combined,testing,Mon Nov 14 2022 16:45:22 GMT+0000 (Coordinated Universal Time),2022-11-14 16:45,Search,rc forces; rc units; operational force; involuntary activation; dodi 12; active duty; selected reserve; rc members; rc access; national guard,DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,,,DoDI,Instruction
41658,58751A4353CBF7C0,75,DoDI 1235.12 CH 1.pdf,Mon Nov 14 2022 16:45:53 GMT+0000 (Coordinated Universal Time),2022-11-14 16:45:00, gamechanger,GAMECHANGER_gamechanger_combined,testing,Mon Nov 14 2022 16:45:22 GMT+0000 (Coordinated Universal Time),2022-11-14 16:45,Search,rc forces; rc units; operational force; involuntary activation; dodi 12; active duty; selected reserve; rc members; rc access; national guard,DoDI 1235.12: Accessing the Reserve Components (RC),Dept. of Defense,DoDI 1235.12 CH 1.pdf,,,DoDI,Instruction
41658,58751A4353CBF7C0,67,AACP 02.pdf,Mon Nov 14 2022 16:41:39 GMT+0000 (Coordinated Universal Time),2022-11-14 16:41:00, gamechanger,GAMECHANGER_gamechanger_combined,,Mon Nov 14 2022 16:41:12 GMT+0000 (Coordinated Universal Time),2022-11-14 16:41,Search,reservations listed; intentionally blank; contract audit; aacp-02; servicing capital; reservation] note; reciprocity means; profit calculation; price proposal; nso,AACP 02: GUIDELINES FOR MUTUAL PROVISION OF CONTRACT AUDITS,Uncategorized,AACP 02.pdf,,,AACP,Uncategorized
41658,58751A4353CBF7C0,67,AACP 02.pdf,Mon Nov 14 2022 16:41:38 GMT+0000 (Coordinated Universal Time),2022-11-14 16:41:00, gamechanger,GAMECHANGER_gamechanger_combined,,Mon Nov 14 2022 16:41:12 GMT+0000 (Coordinated Universal Time),2022-11-14 16:41,Search,reservations listed; intentionally blank; contract audit; aacp-02; servicing capital; reservation] note; reciprocity means; profit calculation; price proposal; nso,AACP 02: GUIDELINES FOR MUTUAL PROVISION OF CONTRACT AUDITS,Uncategorized,AACP 02.pdf,,,AACP,Uncategorized
41653,649A714086686CD4,12135,AFI 36-3026V1.pdf,Mon Nov 14 2022 16:28:07 GMT+0000 (Coordinated Universal Time),2022-11-14 16:28:00, gamechanger,GAMECHANGER_gamechanger_combined,female,Mon Nov 14 2022 16:27:33 GMT+0000 (Coordinated Universal Time),2022-11-14 16:27,Search,id card; id cards; air force; united states; uniformed services; legal custody; dd form; coast guard; afi 36-3026; national guard,AFI 36-3026V1: IDENTIFICATION CARDS FOR MEMBERS OFTHE UNIFORMED SERVICES THEIR ELIGIBLE FAMILY MEMBERS AND OTHERELIGIBLE PERSONNEL,Dept. of the Air Force,AFI 36-3026V1.pdf,,,AFI,Document
41647,649A714086686CD4,12132,A HISTORY OF THE WOMEN MARINES 1946-1977 PCN 19000309400_2.pdf,Mon Nov 14 2022 15:16:56 GMT+0000 (Coordinated Universal Time),2022-11-14 15:16:00, gamechanger,GAMECHANGER_gamechanger_combined,women,Mon Nov 14 2022 15:16:43 GMT+0000 (Coordinated Universal Time),2022-11-14 15:16,Search,marine corps; women marines; woman marine; staff sergeant; pepper board; commanding officer; women marine; woman officer; study group; sergeant major,MC MISC : ,Uncategorized,A HISTORY OF THE WOMEN MARINES 1946-1977 PCN 19000309400_2.pdf,,,MC MISC,Uncategorized
41647,649A714086686CD4,12132,A HISTORY OF THE WOMEN MARINES 1946-1977 PCN 19000309400_2.pdf,Mon Nov 14 2022 15:16:55 GMT+0000 (Coordinated Universal Time),2022-11-14 15:16:00, gamechanger,GAMECHANGER_gamechanger_combined,women,Mon Nov 14 2022 15:16:43 GMT+0000 (Coordinated Universal Time),2022-11-14 15:16,Search,marine corps; women marines; woman marine; staff sergeant; pepper board; commanding officer; women marine; woman officer; study group; sergeant major,MC MISC : ,Uncategorized,A HISTORY OF THE WOMEN MARINES 1946-1977 PCN 19000309400_2.pdf,,,MC MISC,Uncategorized
41647,649A714086686CD4,12127,AFH 36-2235V4.pdf,Mon Nov 14 2022 15:13:13 GMT+0000 (Coordinated Universal Time),2022-11-14 15:13:00, gamechanger,GAMECHANGER_gamechanger_combined,desktop computer,Mon Nov 14 2022 15:09:32 GMT+0000 (Coordinated Universal Time),2022-11-14 15:09,Search,compact disc; find information; hypermedia programs; digital data; twisted pair; optical media; hypermedia applications; file server; digital images; digital audio,AFH 36-2235V4: MANAGERS GUIDE TO NEW EDUCATION AND TRAINING TECHNOLOGIES,Uncategorized,AFH 36-2235V4.pdf,,,AFH,Uncategorized
