Defense Media Activity,DMA,GCORG
Defense Nuclear Facilities Safety Board,DNFSB,GCORG
Defense POW/MIA Accounting Agency,DPAA,GCORG
Defense Prisoner of War/Missing Personnel Office,DPMO,GCORG
Defense Security Cooperation Agency,DSCA,GCORG
Defense Security Service,DSS,GCORG
Defense Technical Information Center,DTIC,GCORG
Defense Technology Security Administration,DTSA,GCORG
Defense Threat Reduction Agency,DTRA,GCORG
Department of Defense,"",GCORG
Department of Defense Civilian/Military Service Board,"",GCORG
Department of Defense Education Activity,DOD EA,GCORG
Department of Defense Test Resource Management Center,DOD TRMC,GCORG
Department of Homeland Security,DHS,GCORG
Department of Veterans Affairs,VA,GCORG
Department of the Air Force,"",GCORG
Department of the Army,"",GCORG
Department of the Navy,"",GCORG
Deputy Secretary of Defense,DepSecDef,GCPER
Deputy Under Secretary of Defense for Installations and Environment,DUSD(I&E),GCPER
Deputy Under Secretary of Defense for Military Personnel Policy,DUSD(MPP),GCPER
"Deputy Under Secretary of Defense for Strategy, Plans, and Forces",DUSD(SPF),GCPER
Director of Administration and Management,DA&M,GCPER
Director of Cost Assessment and Program Evaluation,CAPE,GCPER
Director of Military Family Readiness Policy,"",GCPER
Director of Force Transformation,OFT,GCPER
Director of Management,"",GCPER
Director of Mobility Forces,DIRMOBFOR,GCPER
Director of National Intelligence,DNI,GCPER
Director of Net Assessment,ONA,GCPER
Director of Small Business Programs,"",GCPER
Director of Space Forces,DIRSPACEFOR,GCPER
Director of the Office of Corrosion Policy and Oversight,ODASD(MR),GCPER
"Director, Central Intelligence Agency",D/CIA,GCPER
"Director, Command, Control, Communications, and Computers / Chief Information Officer",C4,GCPER
"Director, DIA","",GCPER
"Director, DLA","",GCPER
"Director, Force Structure, Resources, and Assessment",J8,GCPER
"Director, Intelligence",J2,GCPER
"Director, Joint Force Development",DJ-7,GCPER
"Director, Joint Staff",DJS,GCPER
"Director, Logistics",J4,GCPER
"Director, Manpower and Personnel",J1,GCPER
"Director, National Security Agency",DIRNSA,GCPER
"Director, Operational Test and Evaluation",DOT&E,GCPER
"Director, Operations",J3,GCPER
"Director, Strategy, Plans, and Policy",J5,GCPER
DoD Components,"",GCORG
Electromagnetic Spectrum Operations Cross Functional Team,EMSO CFT,GCORG
Employer Support of the National Guard and Reserve,ESGR,GCORG
Executive Secretary of the Department of Defense,ExecSec,GCPER
Federal Voting Assistance Program,FVAP,GCORG
Fleet Forces Command,USFF,GCORG
General Counsel of the Department of Defense,GC DoD,GCPER
General Services Administration,GSA,GCORG
Government Accountability Office,GAO,GCORG
Great Lakes and Ohio River Division,CELRD,GCORG
Head of Intelligence Community Element,HICE,GCPER
Heads of DoD Components,"",GCPER
Heads of Intelligence Community Elements,HICEs,GCPER
Heads of the DoD Components,"",GCPER
Joint Chiefs of Staff,JCS,GCORG
Joint Forces Staff College,JFSC,GCORG
Joint History Office,"",GCORG
Joint Personnel Recovery Agency,JPRA,GCORG
Joint Program Executive Office for Chemical and Biological Defense,JPEOCBRND,GCORG
Major Commands,MAJCOMS,GCORG
Marine Corps,USMC,GCORG
Marine Expeditionary Units,MEU,GCORG
Marine Forces Command,MARFORCOM,GCORG
"Military Academy, West Point",USMA,GCORG
Military Intelligence Board,MIB,GCORG
Military Postal Service Agency,MPSA,GCORG
Missile Defense Agency,MDA,GCORG
Mississippi Valley Division,CEMVD,GCORG
Missouri River Regional Headquarters,CENWD-MR,GCORG
National Aeronautics and Space Administration,NASA,GCORG
National Assessment Group,NAG,GCORG
National Defense University,NDU,GCORG
National Geospatial Intelligence Agency,NGA,GCORG
National Geospatial-Intelligence Agency,NGA,GCORG
National Guard Bureau,NGB,GCORG
National Intelligence University,NIU,GCORG
National Reconnaissance Office,NRO,GCORG
National Security Agency,NSA,GCORG
Naval Criminal Investigative Service,NCIS,GCORG
Naval Research Laboratory,NRL,GCORG
North Atlantic Division,CENAD,GCORG
North Pacific Regional Headquarters,CENWD-NP,GCORG
